feature,importance
traffic_index,0.3829713679667708
distance_km,0.33795721274893975
num_stops_on_route,0.18204217944858858
shipment_weight_kg,0.039181426730186625
weather_condition_fog,0.017075475834808073
weather_condition_rain,0.01444387925190038
dispatch_hour,0.011727107147649742
vehicle_type_van,0.0037291071875951137
vehicle_type_small_truck,0.0016594397915615103
day_of_week_Sat,0.0016583522923377745
day_of_week_Sun,0.0016362299235798412
day_of_week_Tue,0.001492112528288022
day_of_week_Wed,0.0014869586111089337
day_of_week_Thu,0.0014824892445444004
day_of_week_Mon,0.0014566612921405769
